REF_ID,IN_TIME,VALIDITY,CON_NUM,CON_SIZE,STATUS,OUT_TIME,,,,,,,,,,,,,,,
EFS33203,20-01-23 15.24.13,23-01-23 15.24.13,VCMN8621865,40,E,05-02-23 22.08.24,,,,,,,,,,,,,,,
EFS32998,14-01-23 19.46.25,17-01-23 19.46.25,VCMQ8574159,40,E,07-04-23 08.17.56,,,,,,,,,,,,,,,
EFS33298,23-01-23 19.25.50,26-01-23 19.25.50,RSUB1980829,20,E,08-02-23 10.05.14,,,,,,,,,,,,,,,
EFS33164,19-01-23 16.51.12,22-01-23 16.51.12,KRPA2445155,20,E,01-02-23 23.03.40,,,,,,,,,,,,,,,
EFS33164,19-01-23 16.51.12,22-01-23 16.51.12,YURG5606412,20,E,03-02-23 01.07.46,,,,,,,,,,,,,,,
EFS33648,01-02-23 20.05.30,04-02-23 20.05.30,XSMA7076006,40,E,02-02-23 04.55.16,,,,,,,,,,,,,,,
EFS33648,01-02-23 20.05.30,04-02-23 20.05.30,NNPO9403165,40,E,02-02-23 03.20.53,,,,,,,,,,,,,,,
EFS33648,01-02-23 20.05.30,04-02-23 20.05.30,EJEK1288417,40,E,03-02-23 05.28.44,,,,,,,,,,,,,,,
EFS16751-228639-414880,31-01-23 00.36.28,03-02-23 00.36.28,SDFT9817756,40,L,06-02-23 22.59.00,,,,,,,,,,,,,,,
MTZEFS16816,02-02-23 15.57.26,05-02-23 15.57.26,LHNG8496952,40,E,02-02-23 14.29.55,,,,,,,,,,,,,,,
IGOJO13875,02-02-23 15.57.39,05-02-23 15.57.39,EEOG5871908,40,L,02-02-23 22.05.24,,,,,,,,,,,,,,,
IGOJO13878,02-02-23 16.13.33,05-02-23 16.13.33,NYTE3846547,40,L,04-02-23 06.26.25,,,,,,,,,,,,,,,
IGOJO13878,02-02-23 16.13.33,05-02-23 16.13.33,WAXU1988334,40,L,04-02-23 07.20.45,,,,,,,,,,,,,,,
IGOJO13878,02-02-23 16.13.33,05-02-23 16.13.33,EPNT6456561,40,L,02-02-23 20.48.27,,,,,,,,,,,,,,,
IGOJO13878,02-02-23 16.13.33,05-02-23 16.13.33,FAEE2029090,40,L,03-02-23 05.48.53,,,,,,,,,,,,,,,
IGOJO13878,02-02-23 16.13.33,05-02-23 16.13.33,FMRH9236800,40,L,03-02-23 12.56.12,,,,,,,,,,,,,,,
IGOJO13878,02-02-23 16.13.33,05-02-23 16.13.33,EVMY7215884,40,L,03-02-23 15.49.59,,,,,,,,,,,,,,,
IGOJO13878,02-02-23 16.13.33,05-02-23 16.13.33,KVOA8616152,40,L,03-02-23 05.20.54,,,,,,,,,,,,,,,
IGOJO13878,02-02-23 16.13.33,05-02-23 16.13.33,INDG7310285,40,L,03-02-23 07.38.43,,,,,,,,,,,,,,,
IGOJO13878,02-02-23 16.13.33,05-02-23 16.13.33,JIWJ6627738,40,L,02-02-23 21.01.54,,,,,,,,,,,,,,,
IGOJO13878,02-02-23 16.13.33,05-02-23 16.13.33,ZLAT8293815,40,L,03-02-23 04.40.12,,,,,,,,,,,,,,,
EFS33695,02-02-23 23.34.18,05-02-23 23.34.18,UIUU6811228,20,E,03-02-23 01.07.06,,,,,,,,,,,,,,,
EXP34256-123758,06-02-23 16.39.19,06-02-23 16.39.19,BERQ4373353,20,L,08-02-23 10.37.54,,,,,,,,,,,,,,,
IGOJO13825,31-01-23 18.43.54,03-02-23 18.43.54,IBFX3589127,20,L,01-02-23 23.08.19,,,,,,,,,,,,,,,
IGOJO13827,31-01-23 18.53.01,03-02-23 18.53.01,KYVA2654941,40,L,03-02-23 07.37.38,,,,,,,,,,,,,,,
EFS33763,04-02-23 04.14.51,07-02-23 04.14.51,TYAK0109720,20,E,04-02-23 06.14.41,,,,,,,,,,,,,,,
MTZEFS16843,04-02-23 04.52.07,07-02-23 04.52.07,CTZF0886492,40,E,04-02-23 03.26.35,,,,,,,,,,,,,,,
EFS33766,04-02-23 06.20.18,07-02-23 06.20.18,ESQD2132954,20,E,04-02-23 09.57.04,,,,,,,,,,,,,,,
MTZEFS16846,04-02-23 06.30.13,07-02-23 06.30.13,XGZY7561494,40,E,04-02-23 05.01.34,,,,,,,,,,,,,,,
MTZEFS16847,04-02-23 06.40.43,07-02-23 06.40.43,WJHU8170797,40,E,04-02-23 05.16.29,,,,,,,,,,,,,,,
EFS33768,04-02-23 07.27.02,07-02-23 07.27.02,GXJB8780507,20,E,04-02-23 07.33.13,,,,,,,,,,,,,,,
EFS33771,04-02-23 08.25.00,07-02-23 08.25.00,RKWZ1269287,20,E,04-02-23 11.06.00,,,,,,,,,,,,,,,
EFS33773,04-02-23 09.35.24,07-02-23 09.35.24,IPYP8656078,20,E,04-02-23 11.06.16,,,,,,,,,,,,,,,
EFS33775,04-02-23 10.18.38,07-02-23 10.18.38,MPOZ4006813,20,E,04-02-23 12.03.23,,,,,,,,,,,,,,,
EFS33775,04-02-23 10.18.38,07-02-23 10.18.38,QCOF1005829,20,E,04-02-23 11.04.59,,,,,,,,,,,,,,,
EFS33783,04-02-23 12.58.07,07-02-23 12.58.07,IRUJ4013993,40,E,04-02-23 12.46.58,,,,,,,,,,,,,,,
EFS16805-229219-407289,02-02-23 03.36.42,05-02-23 03.36.42,GOXK9475660,40,L,06-02-23 23.02.03,,,,,,,,,,,,,,,
EXP34281-123907,06-02-23 16.45.12,06-02-23 16.45.12,VSEL8649355,40,L,08-02-23 10.59.03,,,,,,,,,,,,,,,
EXP34281-123907,06-02-23 16.45.12,06-02-23 16.45.12,DTCX5883616,40,L,08-02-23 11.03.56,,,,,,,,,,,,,,,
EXP34394-123981,06-02-23 17.15.12,06-02-23 17.15.12,ESNI0511961,20,L,08-02-23 11.07.24,,,,,,,,,,,,,,,
EXP34394-123981,06-02-23 17.15.12,06-02-23 17.15.12,KLZF1050943,20,L,08-02-23 11.03.13,,,,,,,,,,,,,,,
IGOJO13985,06-02-23 17.15.48,09-02-23 17.15.48,LOXN1374467,40,L,06-02-23 22.27.28,,,,,,,,,,,,,,,
EFS16745-228571-415066,30-01-23 20.03.49,02-02-23 20.03.49,CTKM8293631,40,L,06-02-23 23.01.04,,,,,,,,,,,,,,,
ALO17784-124045-415269,31-01-23 03.26.20,03-02-23 03.26.20,PDFL4527337,20,L,09-02-23 16.03.43,,,,,,,,,,,,,,,
IGOJO13994,06-02-23 18.43.05,09-02-23 18.43.05,PBKJ9947684,20,L,07-02-23 04.13.53,,,,,,,,,,,,,,,
IGOJO13994,06-02-23 18.43.05,09-02-23 18.43.05,AASV9327984,20,L,07-02-23 01.21.20,,,,,,,,,,,,,,,
IGOJO13994,06-02-23 18.43.05,09-02-23 18.43.05,UUQO9500099,20,L,07-02-23 19.06.57,,,,,,,,,,,,,,,
IGOJO13994,06-02-23 18.43.05,09-02-23 18.43.05,COAZ8323575,20,L,07-02-23 01.54.37,,,,,,,,,,,,,,,
IGOJO13994,06-02-23 18.43.05,09-02-23 18.43.05,HNLV6800137,20,L,07-02-23 03.37.56,,,,,,,,,,,,,,,
IGOJO13995,06-02-23 18.43.23,09-02-23 18.43.23,JWYM1901065,20,L,06-02-23 22.36.04,,,,,,,,,,,,,,,
IGOJO13995,06-02-23 18.43.23,09-02-23 18.43.23,YOFI6359767,20,L,07-02-23 04.11.12,,,,,,,,,,,,,,,
IGOJO13995,06-02-23 18.43.23,09-02-23 18.43.23,ASBV5292221,20,L,07-02-23 02.03.46,,,,,,,,,,,,,,,
IGOJO13995,06-02-23 18.43.23,09-02-23 18.43.23,TDUL1007023,20,L,07-02-23 04.12.42,,,,,,,,,,,,,,,
IGOJO13995,06-02-23 18.43.23,09-02-23 18.43.23,NLQY3545196,20,L,07-02-23 04.11.57,,,,,,,,,,,,,,,
IGOJO13995,06-02-23 18.43.23,09-02-23 18.43.23,IQNQ9920121,20,L,06-02-23 22.42.49,,,,,,,,,,,,,,,
IGOJO13995,06-02-23 18.43.23,09-02-23 18.43.23,VPSO9213582,20,L,07-02-23 13.40.36,,,,,,,,,,,,,,,
IGOJO13995,06-02-23 18.43.23,09-02-23 18.43.23,BEWC5596635,20,L,07-02-23 04.11.34,,,,,,,,,,,,,,,
IGOJO13995,06-02-23 18.43.23,09-02-23 18.43.23,DJOY8715127,20,L,06-02-23 21.43.42,,,,,,,,,,,,,,,
IGOJO13995,06-02-23 18.43.23,09-02-23 18.43.23,GAFJ0606955,20,L,07-02-23 02.50.23,,,,,,,,,,,,,,,
EXP34270-123796,06-02-23 18.46.48,06-02-23 18.46.48,OMQK1137653,20,L,11-02-23 21.43.15,,,,,,,,,,,,,,,
EXP34270-123796,06-02-23 18.46.48,06-02-23 18.46.48,CDXB6074847,20,L,11-02-23 21.41.38,,,,,,,,,,,,,,,
EXP34270-123796,06-02-23 18.46.48,06-02-23 18.46.48,VSCL2254419,20,L,11-02-23 21.37.17,,,,,,,,,,,,,,,
EXP34270-123796,06-02-23 18.46.48,06-02-23 18.46.48,MUIY1471844,20,L,11-02-23 21.36.36,,,,,,,,,,,,,,,
EXP34270-123796,06-02-23 18.46.48,06-02-23 18.46.48,TAYY5249504,20,L,11-02-23 21.37.31,,,,,,,,,,,,,,,
EXP34270-123796,06-02-23 18.46.48,06-02-23 18.46.48,JZBM6268719,20,L,11-02-23 21.37.43,,,,,,,,,,,,,,,
EXP34270-123796,06-02-23 18.46.48,06-02-23 18.46.48,OCIA2784474,20,L,11-02-23 21.43.36,,,,,,,,,,,,,,,
EXP34270-123796,06-02-23 18.46.48,06-02-23 18.46.48,NDQO0986520,20,L,11-02-23 21.43.04,,,,,,,,,,,,,,,
EXP34303-123871,06-02-23 18.56.42,06-02-23 18.56.42,OJEY8468208,20,L,08-02-23 10.36.16,,,,,,,,,,,,,,,
EXP34303-123871,06-02-23 18.56.42,06-02-23 18.56.42,ETJY4927055,20,L,08-02-23 10.40.46,,,,,,,,,,,,,,,
EXP34303-123871,06-02-23 18.56.42,06-02-23 18.56.42,ZAYS5102644,20,L,08-02-23 10.41.37,,,,,,,,,,,,,,,
EXP34303-123871,06-02-23 18.56.42,06-02-23 18.56.42,STRV0924671,20,L,08-02-23 10.39.59,,,,,,,,,,,,,,,
EXP34303-123871,06-02-23 18.56.42,06-02-23 18.56.42,YNNG8882244,20,L,08-02-23 10.38.03,,,,,,,,,,,,,,,
EXP34284-123839,06-02-23 19.26.08,06-02-23 19.26.08,YJGZ6810692,20,L,08-02-23 10.39.49,,,,,,,,,,,,,,,
EXP34284-123839,06-02-23 19.26.08,06-02-23 19.26.08,GYHA6386637,20,L,08-02-23 10.41.56,,,,,,,,,,,,,,,
EXP34284-123839,06-02-23 19.26.08,06-02-23 19.26.08,QOPA9768087,20,L,08-02-23 10.40.57,,,,,,,,,,,,,,,
EXP34284-123839,06-02-23 19.26.08,06-02-23 19.26.08,ILFB0655744,20,L,08-02-23 10.42.47,,,,,,,,,,,,,,,
EXP34284-123839,06-02-23 19.26.08,06-02-23 19.26.08,AMRW6966516,20,L,08-02-23 10.34.06,,,,,,,,,,,,,,,
EXP34284-123839,06-02-23 19.26.08,06-02-23 19.26.08,IUSI7734534,20,L,08-02-23 10.38.22,,,,,,,,,,,,,,,
EXP34284-123839,06-02-23 19.26.08,06-02-23 19.26.08,VAEN9056122,20,L,08-02-23 10.43.35,,,,,,,,,,,,,,,
EXP34284-123839,06-02-23 19.26.08,06-02-23 19.26.08,BVNW3991405,20,L,08-02-23 10.39.16,,,,,,,,,,,,,,,
MTZEFS16852,04-02-23 13.00.06,07-02-23 13.00.06,GEXN8948641,40,E,10-02-23 18.30.16,,,,,,,,,,,,,,,
MTZEFS16853,04-02-23 13.02.43,07-02-23 13.02.43,POAI7190372,40,E,04-02-23 11.37.23,,,,,,,,,,,,,,,
IGOJO13941,04-02-23 13.12.02,07-02-23 13.12.02,JCQZ2785188,20,L,09-02-23 23.14.28,,,,,,,,,,,,,,,
IGOJO13941,04-02-23 13.12.02,07-02-23 13.12.02,DSBN3391385,20,L,09-02-23 22.08.14,,,,,,,,,,,,,,,
EFS33785,04-02-23 13.28.14,07-02-23 13.28.14,OWZX0735738,40,E,04-02-23 17.12.22,,,,,,,,,,,,,,,
EFS33788,04-02-23 13.51.27,07-02-23 13.51.27,YFUS5435677,40,E,04-02-23 21.18.49,,,,,,,,,,,,,,,
EFS33792,04-02-23 15.35.49,07-02-23 15.35.49,FPRQ0747406,20,E,04-02-23 23.30.23,,,,,,,,,,,,,,,
EFS33793,04-02-23 15.38.21,07-02-23 15.38.21,MHPM4783408,20,E,04-02-23 17.47.27,,,,,,,,,,,,,,,
EFS33793,04-02-23 15.38.21,07-02-23 15.38.21,LMQF3522012,20,E,04-02-23 17.12.37,,,,,,,,,,,,,,,
EXP34210-123646,04-02-23 15.57.17,04-02-23 15.57.17,KIHR1432743,20,L,08-02-23 10.59.13,,,,,,,,,,,,,,,
EXP34268-123794,04-02-23 16.01.58,04-02-23 16.01.58,FPOI8420795,20,L,08-02-23 11.00.10,,,,,,,,,,,,,,,
EXP34268-123794,04-02-23 16.01.58,04-02-23 16.01.58,PFYI5767145,20,L,08-02-23 11.05.24,,,,,,,,,,,,,,,
EFS33795,04-02-23 16.12.02,07-02-23 16.12.02,KZZO4289824,20,E,04-02-23 15.08.58,,,,,,,,,,,,,,,
EFS33795,04-02-23 16.12.02,07-02-23 16.12.02,WHXH9834604,20,E,04-02-23 15.08.58,,,,,,,,,,,,,,,
EFS16777-228735-404455,31-01-23 11.48.18,03-02-23 11.48.18,IQJM0120446,40,L,10-02-23 01.20.05,,,,,,,,,,,,,,,
IGOJO13947,04-02-23 16.55.15,07-02-23 16.55.15,AGMI8361866,20,L,05-02-23 23.13.29,,,,,,,,,,,,,,,
IGOJO13949,04-02-23 17.06.46,07-02-23 17.06.46,ZXFK8220556,40,L,05-02-23 05.12.09,,,,,,,,,,,,,,,
ALO17818-123919-415966,02-02-23 02.34.16,05-02-23 02.34.16,NROV6240871,40,L,05-02-23 17.11.39,,,,,,,,,,,,,,,
EXP34069-123314,04-02-23 17.11.57,04-02-23 17.11.57,IVZV7756605,20,L,08-02-23 10.57.32,,,,,,,,,,,,,,,
EXP34069-123314,04-02-23 17.11.57,04-02-23 17.11.57,IXNR9250627,20,L,08-02-23 10.58.12,,,,,,,,,,,,,,,
EXP34069-123314,04-02-23 17.11.57,04-02-23 17.11.57,JIGL3940949,20,L,08-02-23 10.55.33,,,,,,,,,,,,,,,
EXP34069-123314,04-02-23 17.11.57,04-02-23 17.11.57,FYBZ8887358,20,L,08-02-23 11.08.39,,,,,,,,,,,,,,,
EXP34069-123314,04-02-23 17.11.57,04-02-23 17.11.57,BCZV8497219,20,L,08-02-23 10.54.13,,,,,,,,,,,,,,,
EXP34069-123314,04-02-23 17.11.57,04-02-23 17.11.57,IQBW7076749,20,L,08-02-23 10.56.09,,,,,,,,,,,,,,,
EXP34069-123314,04-02-23 17.11.57,04-02-23 17.11.57,QGKG7228379,20,L,08-02-23 10.55.51,,,,,,,,,,,,,,,
EXP34069-123314,04-02-23 17.11.57,04-02-23 17.11.57,FQDE0602388,20,L,08-02-23 10.54.59,,,,,,,,,,,,,,,
EXP34069-123314,04-02-23 17.11.57,04-02-23 17.11.57,GTTP1144275,20,L,08-02-23 10.57.03,,,,,,,,,,,,,,,
EXP34069-123314,04-02-23 17.11.57,04-02-23 17.11.57,DYKI1243402,20,L,08-02-23 10.54.05,,,,,,,,,,,,,,,
EXP34069-123314,04-02-23 17.11.57,04-02-23 17.11.57,DGFO2788343,20,L,08-02-23 10.54.22,,,,,,,,,,,,,,,
EXP34069-123314,04-02-23 17.11.57,04-02-23 17.11.57,KVNV6583341,20,L,08-02-23 10.54.31,,,,,,,,,,,,,,,
EXP34069-123314,04-02-23 17.11.57,04-02-23 17.11.57,WOFF8865304,20,L,08-02-23 10.55.07,,,,,,,,,,,,,,,
EXP34069-123314,04-02-23 17.11.57,04-02-23 17.11.57,WPVL1016267,20,L,08-02-23 10.56.17,,,,,,,,,,,,,,,
EXP34069-123314,04-02-23 17.11.57,04-02-23 17.11.57,BWLT6398590,20,L,08-02-23 10.57.13,,,,,,,,,,,,,,,
IGOJO03301,04-02-23 17.18.00,07-02-23 17.18.00,QLEP6419579,40,L,06-02-23 14.29.44,,,,,,,,,,,,,,,
IGOJO03301,04-02-23 17.18.00,07-02-23 17.18.00,ZDEN2722210,40,L,06-02-23 00.00.34,,,,,,,,,,,,,,,
IGOJO03301,04-02-23 17.18.00,07-02-23 17.18.00,SQDI4754459,40,L,06-02-23 23.43.05,,,,,,,,,,,,,,,
IGOJO03301,04-02-23 17.18.00,07-02-23 17.18.00,GSYJ6665677,40,L,06-02-23 13.54.14,,,,,,,,,,,,,,,
IGOJO03301,04-02-23 17.18.00,07-02-23 17.18.00,EPGN8044828,40,L,06-02-23 19.15.15,,,,,,,,,,,,,,,
EFS33613,01-02-23 11.42.24,04-02-23 11.42.24,YISH0538695,20,E,04-02-23 12.47.22,,,,,,,,,,,,,,,
EFS33676,02-02-23 15.21.39,05-02-23 15.21.39,KTDG3463878,40,E,02-02-23 17.46.45,,,,,,,,,,,,,,,
EFS33677,02-02-23 15.26.09,05-02-23 15.26.09,RTRH0291975,40,E,02-02-23 17.42.02,,,,,,,,,,,,,,,
IGOJO13880,02-02-23 16.45.27,05-02-23 16.45.27,WGEV7738246,40,L,03-02-23 05.30.42,,,,,,,,,,,,,,,
IGOJO13880,02-02-23 16.45.27,05-02-23 16.45.27,KIOR5487482,40,L,03-02-23 05.51.48,,,,,,,,,,,,,,,
IGOJO13880,02-02-23 16.45.27,05-02-23 16.45.27,ORIE2874785,40,L,03-02-23 05.52.32,,,,,,,,,,,,,,,
IGOJO13880,02-02-23 16.45.27,05-02-23 16.45.27,PBOQ4287656,40,L,03-02-23 15.50.18,,,,,,,,,,,,,,,
IGOJO13882,02-02-23 16.50.48,05-02-23 16.50.48,GJYD3316651,40,L,02-02-23 17.32.22,,,,,,,,,,,,,,,
EFS33679,02-02-23 17.54.44,05-02-23 17.54.44,GJOT2274222,40,E,02-02-23 20.53.26,,,,,,,,,,,,,,,
IGOJO13889,02-02-23 18.04.29,05-02-23 18.04.29,NFDN6345449,40,L,04-02-23 20.46.53,,,,,,,,,,,,,,,
IGOJO13889,02-02-23 18.04.29,05-02-23 18.04.29,KMQY8879855,40,L,05-02-23 10.57.23,,,,,,,,,,,,,,,
IGOJO13889,02-02-23 18.04.29,05-02-23 18.04.29,OOOP4520965,40,L,04-02-23 14.26.16,,,,,,,,,,,,,,,
IGOJO13889,02-02-23 18.04.29,05-02-23 18.04.29,JDPW8457103,40,L,04-02-23 14.50.38,,,,,,,,,,,,,,,
IGOJO13889,02-02-23 18.04.29,05-02-23 18.04.29,ISYC7155500,40,L,05-02-23 03.13.37,,,,,,,,,,,,,,,
IGOJO13889,02-02-23 18.04.29,05-02-23 18.04.29,JYYT9546962,40,L,05-02-23 16.47.57,,,,,,,,,,,,,,,
IGOJO13889,02-02-23 18.04.29,05-02-23 18.04.29,UGKX5173147,40,L,04-02-23 07.59.18,,,,,,,,,,,,,,,
IGOJO13889,02-02-23 18.04.29,05-02-23 18.04.29,XCFO2949350,40,L,03-02-23 20.16.03,,,,,,,,,,,,,,,
IGOJO13889,02-02-23 18.04.29,05-02-23 18.04.29,HTBA6489714,40,L,03-02-23 20.18.18,,,,,,,,,,,,,,,
IGOJO13889,02-02-23 18.04.29,05-02-23 18.04.29,TMJA5299370,40,L,05-02-23 17.47.24,,,,,,,,,,,,,,,
IGOJO13889,02-02-23 18.04.29,05-02-23 18.04.29,KHVF9982950,40,L,05-02-23 16.53.12,,,,,,,,,,,,,,,
IGOJO13889,02-02-23 18.04.29,05-02-23 18.04.29,KPTG1172457,40,L,03-02-23 20.33.57,,,,,,,,,,,,,,,
ALO17801-123923-415486,31-01-23 18.58.56,03-02-23 18.58.56,GWDF8846550,20,L,05-02-23 17.05.56,,,,,,,,,,,,,,,
EFS33796,04-02-23 17.33.08,07-02-23 17.33.08,MGDC1806247,40,E,04-02-23 18.09.21,,,,,,,,,,,,,,,
EFS33796,04-02-23 17.33.08,07-02-23 17.33.08,FZYV8024774,40,E,04-02-23 17.47.52,,,,,,,,,,,,,,,
EFS33796,04-02-23 17.33.08,07-02-23 17.33.08,VBOS9442403,40,E,04-02-23 17.12.49,,,,,,,,,,,,,,,
IGOJO13953,04-02-23 17.52.27,07-02-23 17.52.27,YVYM3727063,20,L,08-02-23 20.41.09,,,,,,,,,,,,,,,
IGOJO13953,04-02-23 17.52.27,07-02-23 17.52.27,MRAK8880818,20,L,07-02-23 01.05.38,,,,,,,,,,,,,,,
IGOJO13953,04-02-23 17.52.27,07-02-23 17.52.27,BXZV0589087,20,L,07-02-23 01.23.43,,,,,,,,,,,,,,,
IGOJO13953,04-02-23 17.52.27,07-02-23 17.52.27,BRNQ7183095,20,L,08-02-23 01.46.11,,,,,,,,,,,,,,,
IGOJO13953,04-02-23 17.52.27,07-02-23 17.52.27,RYYU1035818,20,L,08-02-23 20.40.53,,,,,,,,,,,,,,,
IGOJO13953,04-02-23 17.52.27,07-02-23 17.52.27,QOLE9228804,20,L,09-02-23 00.48.29,,,,,,,,,,,,,,,
IGOJO13953,04-02-23 17.52.27,07-02-23 17.52.27,UXTC0948473,20,L,08-02-23 17.38.53,,,,,,,,,,,,,,,
IGOJO13953,04-02-23 17.52.27,07-02-23 17.52.27,FLYQ6659979,20,L,08-02-23 00.54.55,,,,,,,,,,,,,,,
IGOJO13953,04-02-23 17.52.27,07-02-23 17.52.27,YUFI3273555,20,L,07-02-23 06.20.32,,,,,,,,,,,,,,,
IGOJO13954,04-02-23 17.53.12,07-02-23 17.53.12,MMWV8136008,20,L,04-02-23 22.48.39,,,,,,,,,,,,,,,
IGOJO03302,04-02-23 18.28.48,07-02-23 18.28.48,TCCF3024282,20,L,04-02-23 17.48.27,,,,,,,,,,,,,,,
IGOJO03302,04-02-23 18.28.48,07-02-23 18.28.48,GOBY4880031,20,L,04-02-23 17.47.47,,,,,,,,,,,,,,,
EFS33804,04-02-23 20.40.15,07-02-23 20.40.15,ILGG9323121,20,E,05-02-23 02.23.19,,,,,,,,,,,,,,,
EFS33804,04-02-23 20.40.15,07-02-23 20.40.15,QJIL5832961,20,E,05-02-23 08.47.36,,,,,,,,,,,,,,,
EFS33806,04-02-23 21.52.15,07-02-23 21.52.15,BHLT6417836,40,E,05-02-23 09.16.45,,,,,,,,,,,,,,,
EFS33808,04-02-23 23.04.57,07-02-23 23.04.57,JZFD3280519,40,E,05-02-23 11.37.01,,,,,,,,,,,,,,,
EFS33808,04-02-23 23.04.57,07-02-23 23.04.57,DJWK1342773,20,E,06-02-23 03.14.23,,,,,,,,,,,,,,,
